

Run Date,Action,Symbol,Description,Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
09/17/2025,"YOU SOLD OPENING TRANSACTION CALL (TSLA) TESLA INC COM SEP 26 25 $440 (100 SHS) (Cash)",-TSLA250926C440,"CALL (TSLA) TESLA INC COM SEP 26 25 $440 (100 SHS)",Cash,-1,6.53,0.65,0.02,,652.33,206702.45,09/18/2025
09/17/2025,"YOU BOUGHT CLOSING TRANSACTION CALL (PLTR) PALANTIR SEP 26 25 $180 (100 SHS) (Cash)",-PLTR250926C180,"CALL (PLTR) PALANTIR SEP 26 25 $180 (100 SHS)",Cash,5,1.11,3.25,0.12,,-558.37,206050.12,09/18/2025
09/17/2025,"YOU SOLD OPENING TRANSACTION CALL (COIN) COINBASE GLOBAL INC SEP 26 25 $345 (100 SHS) (Cash)",-COIN250926C345,"CALL (COIN) COINBASE GLOBAL INC SEP 26 25 $345 (100 SHS)",Cash,-1,5.69,0.65,0.02,,568.33,206608.49,09/18/2025
09/16/2025,"YOU BOUGHT CLOSING TRANSACTION PUT (GOOG) ALPHABET INC CAP STK SEP 26 25 $232.5 (100 SHS) (Cash)",-GOOG250926P232.5,"PUT (GOOG) ALPHABET INC CAP STK SEP 26 25 $232.5 (100 SHS)",Cash,1,0.65,,0.02,,-65.02,206040.16,09/17/2025
09/15/2025,"ASSIGNED as of Sep-12-2025 CALL (CRWD) CROWDSTRIKE HLDGS SEP 12 25 $425 (100 SHS) (Cash)",-CRWD250912C425,"CALL (CRWD) CROWDSTRIKE HLDGS SEP 12 25 $425 (100 SHS)",Cash,1,,,,,0.00,206105.18,
09/15/2025,"EXPIRED CALL (COIN) COINBASE GLOBAL INC SEP 12 25 $330 as of Sep-12-2025 CALL (COIN) COINBASE GLOBAL INC SEP 12 25 $330 (100 SHS) (Cash)",-COIN250912C330,"CALL (COIN) COINBASE GLOBAL INC SEP 12 25 $330 (100 SHS)",Cash,1,,,,,0.00,206105.18,
09/15/2025,"YOU BOUGHT CLOSING TRANSACTION CALL (CAVA) CAVA GROUP INC COM SEP 19 25 $70 (100 SHS) (Cash)",-CAVA250919C70,"CALL (CAVA) CAVA GROUP INC COM SEP 19 25 $70 (100 SHS)",Cash,1,0.07,,0.02,,-7.02,206105.18,09/16/2025
09/15/2025,"YOU SOLD ASSIGNED CALLS AS OF 09-12-25 CROWDSTRIKE HLDGS INC CL A (CRWD) (Cash)",CRWD,"CROWDSTRIKE HLDGS INC CL A",Cash,-100,425,,,,42500,206112.20,09/15/2025



"The data and information in this spreadsheet is provided to you solely for your use and is not for distribution. The spreadsheet is provided for"
"informational purposes only, and is not intended to provide advice, nor should it be construed as an offer to sell, a solicitation of an offer to buy or a"
"recommendation for any security or insurance product by Fidelity or any third party. Data and information shown is based on information known to Fidelity as of the date it was"
"exported and is subject to change. It should not be used in place of your account statements or trade confirmations and is not intended for tax reporting"
"purposes. For more information on the data included in this spreadsheet, including any limitations thereof, go to Fidelity.com."

"Brokerage services are provided by Fidelity Brokerage Services LLC (FBS), 900 Salem Street, Smithfield, RI 02917. Custody and other services provided by National"
"Financial Services LLC (NFS). Both are Fidelity Investment companies and members SIPC, NYSE. Insurance products at Fidelity are distributed by"
"Fidelity Insurance Agency, Inc., and, for certain products, by Fidelity Brokerage Services, Member NYSE, SIPC."

Date downloaded 09/23/2025 12:45 pm
